Title,Authors,Genre,Price,Rating,Description,Image
Sunset,,California,,,,http://books.google.com/books/content?id=KTR9TptKB_cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Antiques,,Antiques,,,,http://books.google.com/books/content?id=Spe3p7USi-oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Dictionary Catalogue of the Illinois State Library,Illinois State Library,"Catalogs, Dictionary",,,,http://books.google.com/books/content?id=aqzBXni4jvEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Thinking in C++,Bruce Eckel,Computers,,4.5,CD-ROM contains: basic introductory seminar on the C concepts necessary to understand C++ or Java.,http://books.google.com/books/content?id=dSzHnI1QGywC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Journal of the House of Delegates of the Commonwealth of Virginia,Virginia. General Assembly. House of Delegates,Virginia,,,,http://books.google.com/books/content?id=sDSRn2tocvMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Philippine Holdings in the Library of Congress, 1960-1987",Library of Congress,Philippines,,,,http://books.google.com/books/content?id=qfHJq7rx0bwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Northwest Musical Herald,,Music,,,,http://books.google.com/books/content?id=th6_6oTrn0MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Epistle of Paul the apostle to the Ephesians,John Owen Farquhar Murray,Bible,,,,http://books.google.com/books/content?id=SBCNqfIayyMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
National Union Catalog,,Union catalogs,,,Includes entries for maps and atlases.,http://books.google.com/books/content?id=iNlzV1EwgWUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Herald of Gospel Liberty,Elias Smith,Theology,,,,http://books.google.com/books/content?id=hqsU4Y9D84gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Bucolica et Georgica,Virgil,,,,,http://books.google.com/books/content?id=0C-QUekWVJgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Geographical Teacher,,Geography,,,,http://books.google.com/books/content?id=RFZUJ7SeaZAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Parliamentary Debates,Great Britain. Parliament. House of Commons,Great Britain,,,,http://books.google.com/books/content?id=8_ZGu9_7rBQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Monographic Series,Library of Congress,Monographic series,,,,http://books.google.com/books/content?id=fBiLbJ2DQdwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Housing,London County Council,Housing,,,,http://books.google.com/books/content?id=0_Yylw1cC_EC&printsec=frontcover&img=1&zoom=1&source=gbs_api
